"year","doy","hour","solar","temp","rh","windspeed","precip","solardiff"
2002,304,10,598.105198997269,7.54929504394534,0.564738750843649,3.05906401754889,0,32.8764420596167
2002,304,11,625.256585255269,8.08741797281839,0.582383587684727,3.05906401754889,0,33.5856904995423
2002,304,12,633.140549976189,8.58886871337893,0.477101404876114,3.05906401754889,0,33.7895895953724
2002,304,13,625.256585255269,9.01947422634429,0.687080908839924,3.05906401754889,0,33.5856904995423
2002,304,14,598.105198997269,9.34988945761513,1,3.05906401754889,0,32.8764420596167
2002,304,15,536.660621545077,9.55759715521734,0.948587600085568,3.05906401754889,0,31.2275449769059
2002,304,16,386.617912785602,9.62844238281252,0.394303204893285,3.05906401754889,0,26.8763686407045
2002,304,17,7.07746653592913,9.55759715521734,0.367143260547416,3.05906401754889,0,5.95781741555165
2002,304,18,0,9.34988945761513,0.396882236078201,3.05906401754889,0,0
2002,304,19,0,9.01947422634429,0.320913999837168,3.05906401754889,0,0
2002,304,20,0,8.58886871337893,0.426869968162533,3.05906401754889,0,0
2002,304,21,0,8.08741797281839,0.423734898136567,3.05906401754889,0,0
2002,304,22,0,7.54929504394534,0.385259171608865,3.05906401754889,0,0
2002,304,23,0,7.01117211507228,0.428758010917595,3.05906401754889,0,0
2002,305,0,0,0.805589294433616,0.750993923086249,5.17176432753786,0,0
2002,305,1,0,0.164767364773171,0.860248009313205,5.17176432753786,0,0
2002,305,2,0,-0.326952596344043,1,5.17176432753786,0,0
2002,305,3,0,-0.636060686173546,1,5.17176432753786,0,0
2002,305,4,0,-0.741491699218727,0.293886314534598,5.17176432753786,0,0
2002,305,5,0,-0.636060686173546,0.413149900676449,5.17176432753786,0,0
2002,305,6,0,-0.326952596344043,0.434285128095801,5.17176432753786,0,0
2002,305,7,9.27812829343216,0.164767364773172,0.462447370858414,5.17176432753786,0,8.66372346632178
2002,305,8,653.280566846729,0.805589294433616,0.604583521232445,5.17176432753786,0,45.7896452398439
2002,305,9,915.680792945703,1.55184223713924,0.834361058230986,5.17176432753786,0,53.4263610740687
2002,305,10,1022.66297056097,2.35267028808596,0.518258175254769,5.17176432753786,0,56.3014227847383
